Who was the President of the Second Continental Congress when the Declaration of Independence was adopted?,John Hancock,"Elbridge Gerry, John Adams, Mary Washington",red
Where was John Adams from?,Massachusetts,"Virginia, New York, Pennsylvania",red
Where was Benjamin Franklin from?,Pennsylvania,"Massachusetts, Connecticut, Michigan",red
Where was Thomas Jefferson from?,Virginia,"Ohio, Massachusetts, New York",red
Where was Robert R. Livingston from?,New York,"Virginia, Washington, Oregon",red
Where was Roger Sherman from?,Connecticut,"Maryland, Rhode Island, Hawaii",red
Who did the delegates push for originally to write the Declaration of Independance? ,Richard Henry Lee,"George Washington, Alfred Hitchcock, Ulysses Grant",red
What did Richard Henry Lee write?,Lee Resolution,"U.S Constitution, Declaration of Independence, Romeo and Juliet",red
"Who, at first, had no interest in penning the Declaration?",Thomas Jefferson,"John Adams, Samuel Adams, Kerwin Rothschild",red
Who wrote the Declaration of Independence?,Thomas Jefferson,"John Adams, Samuel Adams, Kerwin Rothschild",red
This Connecticut signee was the Governor from 1786-1796,Samuel Huntington,"John James, Williams Williamson, Chloe Bagshot",red
"Who was known as the ""Objection Maker""?",Robert Treat Paine,"Josiah Bartlett, Henry Williams, James Kissinger",red
"Who was called the ""Demosthenes of Maryland""?",Samuel Chase,"Charles Carroll, Thomas Jefferson, Benedict Arnold",red
"This signer died as the result of a duel outside Savannah, Geogria",Button Gwinett,"George Walton, Abraham Lincoln, Lyman Hall",red
This signer was the third to die out of all the other signers,Philip Livingston,"Lewis Morris, John Williams, Keith Richards",red
"This signer was captured by the British and was held captive for over a year in St. Augustine, Florida",Edward Rutledge,"Thomas Lynch, Arthur Middleton, Sahin the Falcon",red
Who was the second oldest signer of the Declaration of Independence?,Stephen Hopkins,"Carter Braxton, Jacob Johnson, Kyle Flowers",red
This signer was appointed the first chair of law at the College of William and Mary,George Wythe,"Thomas Nelson, W.E.B Dubois, Thorne Hicks",red
This signer was a trustee of Dickinson College,Benjamin Rush,"James Smith, Lee Helms, Jack Bauer",red
This signer was a former sea captain who commanded troops during the Revolutionary War.,William Whipple,"Matthew Thornton, Jack Black, Abraham Clark",red
